"diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
0.150,,0.151,0.313,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,235.,,,,,,
,,,,,,,,,
,,,,,,,,,
0.811,,0.020,,,,,,,
,,,,,,,,Sk,
0.316,,0.026,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,10.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,11.46,,,,,,
,,,1,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,128.5,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,0.02221,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Sq,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,29,,,,,Sq,
,,,,,,,,,
,,,,,,,,,
,,,0.06248,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Sq,
,,,,,,,,,
,,,7.583,,,,,,
,,,,,,,,,
,,,8,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.5,,,,,,
,,,,,,,,K,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,D,
,,,,,,,,,
0.84,,0.023,2.7,,,,,X,
,,,,,,,,,
,,,,,,,,X:,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,19.98,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,16.94,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,19.89,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,7.079,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,7,,,,,,
,,,,,,,,,
,,,2.3642,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,1.36622,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.258,,0.021,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,5.69,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.5561,,,,,,
,,,58,,,,,,
,,,,,,,,,
,,,,,,,,,
1.316,,0.018,,,,,,,
,,,,,,,,,
,,,7.3,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,3.6,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,100,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
